SYMBOL,GID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTHFD2,104828875,"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",285.1805652,0.778192382,0.244748216,3.179563039,0.001474973,0.029719855
ASB8,104830282,ankyrin repeat and SOCS box protein 8,120.4880944,0.777960117,0.246884308,3.151112046,0.001626501,0.030873732
EIF3G,104832592,eukaryotic translation initiation factor 3 subunit G,340.9496184,0.774933496,0.24599078,3.150254231,0.001631284,0.030873732
ATG9A,104832050,autophagy-related protein 9A,685.221031,0.766026731,0.239403889,3.199725514,0.001375585,0.028821525
DNALI1,104837256,axonemal dynein light intermediate polypeptide 1,94.05764105,0.760412395,0.258457218,2.942120941,0.003259726,0.042606366
PPOX,104831348,protoporphyrinogen oxidase,80.78561994,0.7593938,0.236197679,3.21507732,0.001304094,0.02828136
DPM2,104833950,dolichol phosphate-mannose biosynthesis regulatory protein,84.84974687,0.751747241,0.232805762,3.229074899,0.001241914,0.02749989
PRDX6,104840331,peroxiredoxin-6,434.6205618,0.739923199,0.184828585,4.003294181,6.25E-05,0.00755199
NKIRAS2,104842935,NF-kappa-B inhibitor-interacting Ras-like protein 2 isoform X1,205.9683052,0.739704703,0.220936475,3.348042483,0.000813845,0.023010821
MIEF1,104830385,mitochondrial dynamics protein MID51,545.3536918,0.7327542,0.251848083,2.909508744,0.003619973,0.044661887
ANKRD40,104838808,ankyrin repeat domain-containing protein 40,222.8643222,0.731902221,0.213218339,3.432641972,0.000597731,0.019903346
LOC104842380,104842380,ubiquinol-cytochrome-c reductase complex assembly factor 2,224.5957386,0.730380311,0.240527307,3.036579589,0.002392789,0.037568417
MUL1,104837860,mitochondrial ubiquitin ligase activator of NFKB 1,65.19209271,0.729233028,0.235266607,3.099602775,0.001937803,0.033688951
HYPK,104834764,huntingtin-interacting protein K,77.27650993,0.721471733,0.23974551,3.009323234,0.002618304,0.038516532
MARS,104834318,"methionine--tRNA ligase, cytoplasmic",282.3551615,0.718556132,0.228162979,3.149310786,0.00163656,0.030903668
GRINA,104831319,protein lifeguard 1,365.5087664,0.717123238,0.227994658,3.145351053,0.001658876,0.031157254
PGAP2,104837512,post-GPI attachment to proteins factor 2 isoform X1,721.379324,0.715424146,0.230770787,3.100150401,0.001934224,0.033682397
DOHH,104839689,deoxyhypusine hydroxylase,96.30347696,0.714843233,0.240528566,2.971968132,0.002958974,0.040565473
HAGHL,104833638,hydroxyacylglutathione hydrolase-like protein isoform X1,256.0652173,0.703920099,0.245861936,2.863070676,0.00419557,0.048154584
ICMT,104830472,protein-S-isoprenylcysteine O-methyltransferase,139.0773642,0.694343672,0.210463088,3.299123278,0.000969873,0.024802429
LOC104830824,104830824,"histidine--tRNA ligase, cytoplasmic-like",157.8804919,0.692495903,0.193041784,3.587285028,0.000334139,0.015554963
PPP1CA,104833298,serine/threonine-protein phosphatase PP1-alpha catalytic subunit,161.2228041,0.689615166,0.243105594,2.836689827,0.004558387,0.049478964
RBM15B,104828142,putative RNA-binding protein 15B,97.90566987,0.689484516,0.220293765,3.129841265,0.001749008,0.031923551
DHRS7B,104833596,dehydrogenase/reductase SDR family member 7B isoform X1,322.3365827,0.686610899,0.212870995,3.225478881,0.001257621,0.027729161
LOC104836599,104836599,host cell factor 1-like,104.3884253,0.685693182,0.204903339,3.346422688,0.000818615,0.023035165
LOC104835896,104835896,histone acetyltransferase KAT5-like,168.6412043,0.681254288,0.20521177,3.319762246,0.000900941,0.023890181
KIAA0100,104835759,UPF0378 protein KIAA0100 homolog,343.0933968,0.679639297,0.151449867,4.487552961,7.20E-06,0.003294691
ATG101,104831148,autophagy-related protein 101 isoform X1,60.94384302,0.675194112,0.2316344,2.914912945,0.003557878,0.044338576
GANAB,104834099,neutral alpha-glucosidase AB,98.40838005,0.672220726,0.19949143,3.369672209,0.000752576,0.02223483
CASP8,104830055,caspase-8,261.0202096,0.671410258,0.158375432,4.239358664,2.24E-05,0.004715414
GINS1,104828645,DNA replication complex GINS protein PSF1 isoform X1,60.2457721,0.661042536,0.218365041,3.027236101,0.002468011,0.037785357
TUSC2,104828147,tumor suppressor candidate 2,238.6424457,0.660308887,0.192244745,3.434730482,0.000593143,0.019903346
LOC104839631,104839631,nucleolar RNA helicase 2-like,305.6534829,0.659454998,0.214260851,3.077813773,0.002085252,0.035541282
KBTBD4,104839708,kelch repeat and BTB domain-containing protein 4,108.783147,0.65151398,0.214736888,3.034010538,0.00241326,0.037598709
RBM14,104835240,RNA-binding protein 14,199.9133027,0.649458411,0.220285582,2.948256556,0.003195717,0.042386576
CHRNB2,104829727,neuronal acetylcholine receptor subunit beta-2,195.9961024,0.643381728,0.210909312,3.05051362,0.002284503,0.03701122
SLC29A1,104840314,equilibrative nucleoside transporter 1,898.8556315,0.642604399,0.201059014,3.196098426,0.001392996,0.029027664
VPS72,104830572,vacuolar protein sorting-associated protein 72 homolog,164.5592949,0.635430858,0.17292394,3.674626299,0.000238198,0.013581792
MSANTD2,104840427,myb/SANT-like DNA-binding domain-containing protein 2 isoform X1,498.6971012,0.634299659,0.201530237,3.147416831,0.0016472,0.031048827
ABCB6,104832060,"ATP-binding cassette sub-family B member 6, mitochondrial",265.1644455,0.628676235,0.215560492,2.916472448,0.00354014,0.0442749
WDR24,104831442,WD repeat-containing protein 24,159.4800869,0.62698548,0.169579917,3.697286151,0.000217917,0.012804734
CCDC167,104840306,coiled-coil domain-containing protein 167 isoform X1,314.1028924,0.626697269,0.185645591,3.375772443,0.000736088,0.021994803
SART1,104834889,U4/U6.U5 tri-snRNP-associated protein 1,276.5945886,0.625968718,0.163869943,3.819911741,0.000133499,0.010324611
LOC104838695,104838695,uncharacterized protein C17orf80 homolog isoform X1,107.7146653,0.625694121,0.212776845,2.940611901,0.003275647,0.042606366
PPP1R10,104834071,serine/threonine-protein phosphatase 1 regulatory subunit 10,741.6917201,0.624587235,0.220119383,2.837493122,0.004546933,0.049478964
ZBTB4,104834082,zinc finger and BTB domain-containing protein 4,323.3785306,0.624029112,0.201135043,3.102537981,0.001918689,0.033578658
GPATCH3,104837194,G patch domain-containing protein 3,119.6903057,0.618107762,0.161007851,3.838991431,0.000123541,0.010132359
PRPF19,104829795,pre-mRNA-processing factor 19,170.2131179,0.615381263,0.205604875,2.993028559,0.002762239,0.039208137
COASY,104842948,bifunctional coenzyme A synthase isoform X1,158.9823468,0.613087094,0.164073103,3.736670325,0.000186473,0.011744459
DPAGT1,104836363,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,108.6826129,0.608418524,0.213201981,2.853718912,0.004321075,0.048504869
CDK10,104839330,cyclin-dependent kinase 10 isoform X1,125.5553481,0.60427084,0.199120257,3.034702994,0.002407727,0.037598709
SMYD4,104835571,SET and MYND domain-containing protein 4,132.8089114,0.601648633,0.18847718,3.192156385,0.001412149,0.029042436
LOC104842302,104842302,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like isoform X1",233.7144674,0.601460036,0.204733216,2.93777457,0.003305773,0.042804524
PDCD2,104828771,LOW QUALITY PROTEIN: programmed cell death protein 2,70.95268184,0.599070207,0.198572266,3.016887602,0.002553845,0.038342695
UTP14A,104831489,U3 small nucleolar RNA-associated protein 14 homolog A,292.5565591,0.598398343,0.170555835,3.508518746,0.000450609,0.017765436
ANAPC15,104837564,anaphase-promoting complex subunit 15,177.5826228,0.591462708,0.204456154,2.892858426,0.003817533,0.045905521
EFCAB12,104833512,EF-hand calcium-binding domain-containing protein 12,199.680574,0.590072787,0.204154088,2.8903305,0.00384837,0.046114611
CCDC43,104828001,coiled-coil domain-containing protein 43,322.5905953,0.589232831,0.193274847,3.048678297,0.002298505,0.03702247
ABCF2,104828504,ATP-binding cassette sub-family F member 2,328.1251811,0.586857844,0.205512947,2.855576018,0.004295884,0.048440225
TICAM1,104828524,TIR domain-containing adapter molecule 1,86.52497226,0.581976556,0.196675589,2.959068576,0.003085704,0.041344506
PRPF4,104833994,U4/U6 small nuclear ribonucleoprotein Prp4,188.3797847,0.578831117,0.184657051,3.134627754,0.001720723,0.031807672
TBCCD1,104827874,TBCC domain-containing protein 1,153.049381,0.578300143,0.195213178,2.962403194,0.003052478,0.041073345
TOP3A,104833616,DNA topoisomerase 3-alpha,301.7678689,0.577992736,0.168301272,3.434274307,0.000594143,0.019903346
VPS4A,104839322,vacuolar protein sorting-associated protein 4A,186.7795164,0.572937798,0.199822689,2.867230955,0.004140807,0.048093582
NFRKB,104840455,nuclear factor related to kappa-B-binding protein,438.3551802,0.569964048,0.195863226,2.910010518,0.003614166,0.044661887
CBLL1,104840264,E3 ubiquitin-protein ligase Hakai,194.432243,0.563582627,0.179246937,3.144168795,0.001665593,0.031172084
LOC104835889,104835889,armadillo repeat-containing protein 5-like,154.9954413,0.555097849,0.179922176,3.085210847,0.002034079,0.034901212
GEMIN5,104838932,gem-associated protein 5,216.3798524,0.546666412,0.181337959,3.01462757,0.00257295,0.038434449
DHX30,104828401,putative ATP-dependent RNA helicase DHX30 isoform X1,825.9255927,0.541266925,0.145680032,3.715450337,0.000202842,0.01219139
LOC104830420,104830420,uncharacterized protein LOC104830420,99.64153585,0.539414375,0.177073869,3.046267512,0.002317016,0.037131826
SNAPC4,104833841,snRNA-activating protein complex subunit 4 isoform X1,506.1264827,0.53583695,0.180001627,2.976845031,0.002912312,0.040251899
RRP36,104838202,ribosomal RNA processing protein 36 homolog,218.0540685,0.534907306,0.177315553,3.01669706,0.002555451,0.038342695
SZRD1,104837835,SUZ domain-containing protein 1 isoform X1,333.867757,0.527870644,0.144789603,3.645777277,0.000266585,0.01419281
VPS51,104832067,vacuolar protein sorting-associated protein 51 homolog isoform X1,231.2959561,0.519861479,0.17986784,2.890241415,0.003849461,0.046114611
MYO19,104835791,unconventional myosin-XIX,312.7094118,0.509225339,0.169109564,3.011215488,0.002602041,0.038438581
LOC104829733,104829733,polyamine-modulated factor 1-like,91.18330332,0.504817587,0.174987444,2.884878905,0.003915642,0.046536415
FBXO42,104837834,F-box only protein 42 isoform X1,855.4197415,0.498092861,0.13563817,3.672217485,0.000240455,0.013581792
SZT2,104841083,protein SZT2 isoform X1,1561.724809,0.496673877,0.138691379,3.581144556,0.000342092,0.015554963
TBRG4,104828315,protein TBRG4 isoform X1,393.9564442,0.494234922,0.166418057,2.96983952,0.002979554,0.040699928
GTF2E2,104836785,transcription initiation factor IIE subunit beta,470.6790805,0.489390975,0.165981038,2.9484752,0.003193458,0.042386576
MAF1,104831308,repressor of RNA polymerase III transcription MAF1 homolog isoform X1,366.3098769,0.487372548,0.158068019,3.083309009,0.002047125,0.035067846
CARKD,104836955,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,1023.989478,0.48072237,0.154877079,3.103896162,0.001909903,0.03350824
DYRK3,104839046,dual specificity tyrosine-phosphorylation-regulated kinase 3 isoform X1,190.8179725,0.477981074,0.152629349,3.131645902,0.001738294,0.031869874
FAM129C,104832576,niban-like protein 2,179.0704772,0.472684328,0.162282443,2.912726226,0.003582886,0.044448386
LAMTOR1,104837565,ragulator complex protein LAMTOR1,160.5895796,0.472031618,0.159964493,2.950852454,0.003168983,0.042191593
APIP,104843222,methylthioribulose-1-phosphate dehydratase isoform X1,420.0823442,0.468429597,0.153014155,3.061348118,0.002203427,0.036439702
TTL,104838193,tubulin--tyrosine ligase,192.5949737,0.466445272,0.156593062,2.978709692,0.002894649,0.040060417
NME3,104831446,nucleoside diphosphate kinase 3,151.7708193,0.458027415,0.158960258,2.881395772,0.003959182,0.047000758
PAN2,104830349,PAB-dependent poly(A)-specific ribonuclease subunit PAN2,265.9041067,0.454386193,0.143109337,3.175098162,0.001497858,0.029978977
MNS1,104834714,meiosis-specific nuclear structural protein 1,439.4244566,0.447050901,0.156045468,2.864875899,0.004171727,0.048093582
LOC104830805,104830805,"histidine--tRNA ligase, cytoplasmic isoform X1",390.4768759,0.445956378,0.130091079,3.428031956,0.000607974,0.019967822
TLE2,104829071,transducin-like enhancer protein 2 isoform X1,395.6173713,0.436096355,0.152433976,2.860886839,0.004224578,0.048154584
N4BP2L2,104834990,NEDD4-binding protein 2-like 2 isoform X1,833.3512119,0.426556319,0.141111248,3.022837122,0.00250417,0.037935866
ZNF609,104834340,zinc finger protein 609,1296.345565,0.423075309,0.103770948,4.077011139,4.56E-05,0.006231322
KLHDC3,104838201,kelch domain-containing protein 3,319.0139075,0.421434766,0.145299312,2.90045948,0.00372616,0.045266138
INTS1,104833709,integrator complex subunit 1,765.54583,0.417524568,0.145967855,2.860387088,0.004231242,0.048154584
PAIP2B,104840097,polyadenylate-binding protein-interacting protein 2B,425.8808796,0.398826971,0.138587654,2.877795815,0.004004643,0.047380011
POLG,104834553,DNA polymerase subunit gamma-1,245.5360124,0.395508331,0.115710446,3.418086667,0.00063063,0.020259167
ANKS3,104831431,ankyrin repeat and SAM domain-containing protein 3 isoform X1,299.5633689,0.390821349,0.11920116,3.278670671,0.001042973,0.025357268
RBMS1,104831892,"RNA-binding motif, single-stranded-interacting protein 1 isoform X1",1474.218556,-0.336839132,0.098163104,-3.431422978,0.000600424,0.019903346
HLTF,104842560,helicase-like transcription factor,257.3166138,-0.371895553,0.130238268,-2.855501359,0.004296894,0.048440225
DENND1A,104833810,DENN domain-containing protein 1A isoform X1,1630.391485,-0.396361219,0.120255263,-3.295998934,0.000980724,0.024802429
UXS1,104836906,UDP-glucuronic acid decarboxylase 1 isoform X1,585.5509603,-0.440132511,0.128078088,-3.4364388,0.000589415,0.019903346
EZH2,104828376,histone-lysine N-methyltransferase EZH2 isoform X1,306.3002799,-0.457037574,0.138044509,-3.310798655,0.000930301,0.024280169
EIF4G3,104837822,eukaryotic translation initiation factor 4 gamma 3 isoform X1,1252.082451,-0.478282067,0.163273627,-2.929328358,0.003396954,0.043094847
RAPGEF6,104838847,rap guanine nucleotide exchange factor 6 isoform X1,1587.89051,-0.498463557,0.170970365,-2.915496836,0.003551227,0.044308193
LOC104828685,104828685,USP6 N-terminal-like protein isoform X1,1218.348951,-0.558890414,0.196529637,-2.843797109,0.004457942,0.049408471
NAP1L1,104828249,nucleosome assembly protein 1-like 1 isoform X1,149.4347772,-0.575563279,0.182446971,-3.154688051,0.001606698,0.030824698
TRAPPC9,104842125,trafficking protein particle complex subunit 9,3604.952966,-0.576734034,0.133372812,-4.324224894,1.53E-05,0.003744141
SMAD5,104838869,mothers against decapentaplegic homolog 5,83.47200377,-0.57690109,0.201594826,-2.86168599,0.004213942,0.048154584
LOC104834332,104834332,mucosa-associated lymphoid tissue lymphoma translocation protein 1-like,403.9792966,-0.581583605,0.191364784,-3.039136006,0.002372577,0.03746962
RAB6A,104837487,ras-related protein Rab-6A isoform X1,549.2490685,-0.584592779,0.199402536,-2.93172189,0.003370885,0.042975715
MTMR4,104843153,myotubularin-related protein 4 isoform X1,809.3667515,-0.622955274,0.204599164,-3.044759618,0.002328663,0.037131826
OXSR1,104829098,serine/threonine-protein kinase OSR1,804.8987351,-0.66679155,0.176275939,-3.782657779,0.000155163,0.010807954
ESRRG,104828460,estrogen-related receptor gamma isoform X1,3253.302001,-0.676905896,0.145133012,-4.664038087,3.10E-06,0.002081796
NCOA2,104837035,nuclear receptor coactivator 2,1735.990853,-0.677245038,0.221510217,-3.057398654,0.002232671,0.036673916
BID,104830924,BH3-interacting domain death agonist,123.6464737,-0.693952538,0.196102259,-3.538727904,0.00040206,0.016912687
CDC14A,104829405,dual specificity protein phosphatase CDC14A isoform X1,514.4941024,-0.695477443,0.226096746,-3.07601703,0.002097859,0.035646651
CUX1,104835732,protein CASP,2203.627903,-0.70361655,0.168781301,-4.168806293,3.06E-05,0.005552762
RPS6KA3,104834146,ribosomal protein S6 kinase alpha-3 isoform X1,648.6002326,-0.705890934,0.174666434,-4.041365682,5.31E-05,0.006964364
TKT,104834981,transketolase isoform X1,160.5100363,-0.735337176,0.249853931,-2.943068265,0.003249767,0.042606366
TFDP2,104832250,transcription factor Dp-2 isoform X1,259.2565798,-0.770570592,0.23231743,-3.316886695,0.000910265,0.023932514
PDIA4,104828411,protein disulfide-isomerase A4,410.1337699,-0.782945043,0.274269965,-2.854651047,0.004308414,0.048457694
EIF2AK3,104840104,eukaryotic translation initiation factor 2-alpha kinase 3,280.3512229,-0.788009366,0.229071971,-3.440007793,0.000581697,0.019903346
LPGAT1,104837361,acyl-CoA:lysophosphatidylglycerol acyltransferase 1,524.8136235,-0.793339827,0.244352757,-3.246698891,0.001167518,0.026695562
MSI2,104835794,RNA-binding protein Musashi homolog 2,1637.005557,-0.793465841,0.262421699,-3.023628925,0.002497626,0.037935866
RASA1,104838374,ras GTPase-activating protein 1,244.2045896,-0.793942289,0.270092643,-2.939518378,0.003287228,0.042632628
PPARD,104842360,peroxisome proliferator-activated receptor delta,202.0308115,-0.800096025,0.262711156,-3.04553501,0.002322667,0.037131826
RALGAPA1,104841776,ral GTPase-activating protein subunit alpha-1 isoform X1,568.4346672,-0.818457216,0.274402432,-2.982689366,0.002857278,0.039857895
LOC104841541,104841541,glycerol-3-phosphate acyltransferase 3 isoform X1,239.6418871,-0.823998694,0.216545962,-3.80519077,0.000141695,0.010569839
NRIP1,104831572,nuclear receptor-interacting protein 1,681.0859454,-0.826193066,0.233575295,-3.53715947,0.000404455,0.016912687
PITPNA,104835565,phosphatidylinositol transfer protein alpha isoform isoform X1,346.8417609,-0.828879885,0.24212081,-3.423414477,0.000618397,0.020075799
CMTM4,104842647,CKLF-like MARVEL transmembrane domain-containing protein 4,510.5697117,-0.832064171,0.230591111,-3.608396558,0.000308095,0.015104771
TRERF1,104837375,transcriptional-regulating factor 1 isoform X1,667.1293685,-0.87404221,0.230843388,-3.786299524,0.000152907,0.010763121
RAP1GDS1,104827787,rap1 GTPase-GDP dissociation stimulator 1,705.090174,-0.880852406,0.239610772,-3.676180326,0.000236752,0.013581792
BMF,104835930,bcl-2-modifying factor,108.7835698,-0.891134035,0.310859566,-2.866677218,0.004148058,0.048093582
ACSS2,104842003,"acetyl-coenzyme A synthetase, cytoplasmic",257.9934171,-0.910195282,0.253173104,-3.595149985,0.000324205,0.015429799
AGPAT3,104839769,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,252.064119,-0.913598405,0.321243939,-2.843939744,0.004455947,0.049408471
TVP23A,104838660,Golgi apparatus membrane protein TVP23 homolog A,127.5466553,-0.913804831,0.24265217,-3.765904225,0.000165947,0.011183159
RNASEL,104839977,2-5A-dependent ribonuclease isoform X1,59.35034798,-0.913840203,0.274697471,-3.326715018,0.000878762,0.023699534
SKAP2,104838105,src kinase-associated phosphoprotein 2,782.8728469,-0.925769914,0.263940458,-3.507495297,0.000452346,0.017765436
ATP13A3,104832270,probable cation-transporting ATPase 13A3,184.8982066,-0.929257177,0.31150812,-2.983091342,0.002853528,0.039857895
QDPR,104837631,dihydropteridine reductase,57.0447966,-0.934684198,0.3291014,-2.840110064,0.004509797,0.049478964
PIK3CG,104840150,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",227.7707223,-0.93559157,0.326779823,-2.863064068,0.004195657,0.048154584
FAM3C,104840398,protein FAM3C,55.74957616,-0.936402533,0.32962385,-2.840821542,0.004499749,0.049478964
HERC3,104843296,probable E3 ubiquitin-protein ligase HERC3,408.3351821,-0.950418061,0.263136648,-3.611880253,0.000303985,0.015010862
BCOR,104834183,BCL-6 corepressor isoform X1,557.9948904,-0.953476321,0.324170076,-2.941284191,0.003268545,0.042606366
SERINC5,104839908,serine incorporator 5,127.3029078,-0.963744944,0.303074443,-3.179895122,0.001473284,0.029719855
P4HA1,104839554,prolyl 4-hydroxylase subunit alpha-1 isoform X1,776.9693806,-0.968288028,0.326592153,-2.964823311,0.003028568,0.040891502
GTDC1,104836537,glycosyltransferase-like domain-containing protein 1,950.1138874,-0.969198784,0.280263944,-3.458164361,0.000543869,0.01926067
MAP3K14,104827955,mitogen-activated protein kinase kinase kinase 14,151.7819439,-0.971971916,0.326206558,-2.979621018,0.002886052,0.039994065
ZNF292,104830643,zinc finger protein 292 isoform X1,213.0538593,-0.972177255,0.29299087,-3.318114501,0.000906273,0.023890181
GBE1,104831815,"1,4-alpha-glucan-branching enzyme",648.59515,-0.975586156,0.310798805,-3.138963666,0.001695465,0.031506886
EPT1,104830742,ethanolaminephosphotransferase 1,71.72633515,-0.983932067,0.323250003,-3.043873345,0.002335534,0.037163618
IGF2BP3,104838068,insulin-like growth factor 2 mRNA-binding protein 3 isoform X1,824.5635972,-0.994247121,0.296502136,-3.353254497,0.000798672,0.02282727
TRPM7,104834515,transient receptor potential cation channel subfamily M member 7,257.5324308,-0.997538141,0.311010369,-3.207411199,0.001339354,0.028617715
CYSTM1,104830816,cysteine-rich and transmembrane domain-containing protein 1,173.1874083,-1.002114086,0.334302314,-2.997628322,0.002720893,0.039021528
ACSL4,104832695,long-chain-fatty-acid--CoA ligase 4 isoform X1,276.9790439,-1.013875521,0.304154881,-3.333418546,0.000857858,0.023468115
SHISA5,104832857,protein shisa-5,358.080475,-1.014237188,0.31192305,-3.25156217,0.001147727,0.026589845
HPRT1,104834883,hypoxanthine-guanine phosphoribosyltransferase,105.3467201,-1.014949376,0.307688458,-3.298626737,0.00097159,0.024802429
FKBP4,104836686,peptidyl-prolyl cis-trans isomerase FKBP4 isoform X1,144.7175579,-1.020875332,0.324652828,-3.144513903,0.00166363,0.031172084
LOC104831979,104831979,phosphoinositide 3-kinase adapter protein 1-like,178.0274768,-1.030505584,0.307710869,-3.348941123,0.00081121,0.022998141
DOPEY2,104839816,protein dopey-2 isoform X1,260.1611217,-1.030630633,0.316189424,-3.259535438,0.001115948,0.026110818
LOC104832329,104832329,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,57.02778803,-1.033568307,0.364687782,-2.834118273,0.004595232,0.04972495
GRK4,104841687,G protein-coupled receptor kinase 4 isoform X1,226.8124462,-1.038226136,0.347446363,-2.98816234,0.002806604,0.039465059
MFSD10,104841689,major facilitator superfamily domain-containing protein 10,158.6586767,-1.040424412,0.363153684,-2.864970009,0.004170487,0.048093582
GSAP,104840167,gamma-secretase-activating protein,203.3546251,-1.041298183,0.303581877,-3.430040661,0.000603491,0.019903346
ATP2A2,104840901,sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform X1,587.0088922,-1.058730391,0.362600176,-2.919828676,0.003502239,0.044062854
STOM,104834009,erythrocyte band 7 integral membrane protein,420.2970787,-1.076686908,0.355093544,-3.032121896,0.002428411,0.037631361
MAP4,104829270,microtubule-associated protein 4,492.400212,-1.08719649,0.344766228,-3.153430942,0.001613634,0.03085855
RFFL,104835534,E3 ubiquitin-protein ligase rififylin,155.6700166,-1.092299989,0.36963805,-2.955052891,0.003126155,0.041727022
ASAP1,104837658,"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 isoform X1",2027.712568,-1.100627893,0.327120787,-3.364591729,0.00076657,0.022373151
LOC104828520,104828520,cathepsin L1-like,61.44056941,-1.101553126,0.337433696,-3.264502451,0.001096565,0.025939119
SYNRG,104835684,synergin gamma,142.893457,-1.118018564,0.352654182,-3.170297191,0.001522831,0.030221012
PTPRA,104840075,receptor-type tyrosine-protein phosphatase alpha isoform X1,642.7100258,-1.122539865,0.366487143,-3.062972019,0.002191506,0.036356869
BICD2,104842205,protein bicaudal D homolog 2 isoform X1,395.708936,-1.122788374,0.39312366,-2.856069188,0.004289217,0.048440225
