GeneID,Chr,Start,End,Strand,Length,Eagle_002_lps,Eagle_004_lps,Eagle_006_lps,Eagle_007_lps,Eagle_008_lps,Eagle_012_lps,Eagle_013_lps,Eagle_014_lps,Eagle_015_lps,Eagle_020_lps,Eagle_021_lps,Eagle_022_lps
TEF,NW_010972436.1,632886,648546,-,15661,483,2264,44,2995,351,241,836,600,2203,188,1189,1917
ZC3H7B,NW_010972436.1,659422,708071,-,48650,1677,7969,164,12735,1610,969,2961,2790,8006,1091,5275,7368
RANGAP1,NW_010972436.1,712348,732650,+,20303,438,852,22,1028,127,82,273,216,636,59,444,689
CHADL,NW_010972436.1,735336,741777,+,6442,123,44,0,52,13,9,19,15,65,6,36,48
L3MBTL2,NW_010972436.1,743645,761181,-,17537,492,588,14,728,97,88,223,220,713,47,413,626
LOC104828703,NW_010972436.1,762116,765769,-,3654,66,72,1,89,13,11,30,34,68,11,71,80
LOC104828879,NW_010972436.1,775629,842676,-,67048,3329,24329,545,27241,4933,3176,9999,8144,26699,2379,12448,19599
RBX1,NW_010972436.1,872365,884637,-,12273,235,248,6,264,40,33,72,103,244,12,157,202
XPNPEP3,NW_010972436.1,886625,919068,-,32444,746,1236,21,1832,223,240,614,549,1971,165,1074,1789
ST13,NW_010972436.1,925877,944431,+,18555,509,2857,85,4154,556,453,1865,959,3758,468,2084,2848
SLC25A17,NW_010972436.1,952918,972926,+,20009,334,344,9,309,32,25,156,102,313,29,200,188
MKL1,NW_010972436.1,1073360,1101351,+,27992,747,1840,36,1444,244,216,501,220,803,126,1386,710
SGSM3,NW_010972436.1,1106693,1136890,-,30198,748,1218,17,839,120,110,303,162,655,63,614,586
ADSL,NW_010972436.1,1139082,1157004,-,17923,388,1039,14,570,96,82,200,190,773,46,504,488
TNRC6B,NW_010972436.1,1170301,1283380,-,113080,6768,95164,1914,130931,15404,9951,33189,26167,84457,10931,51819,71372
FAM83F,NW_010972436.1,1322886,1341119,-,18234,418,10,1,7,2,0,10,6,12,2,17,6
GRAP2,NW_010972436.1,1362463,1439070,-,76608,1412,381,9,275,36,29,181,19,65,26,419,88
CACNA1I,NW_010972436.1,1486828,1643190,-,156363,3831,74,1,73,14,21,36,29,75,8,196,64
RPS19BP1,NW_010972436.1,1689151,1692327,+,3177,149,1436,33,1927,270,233,475,571,2086,150,846,1523
ATF4,NW_010972436.1,1700334,1703769,-,3436,253,3330,61,2881,524,463,1695,957,3624,340,2059,2497
MIEF1,NW_010972436.1,1713369,1723061,-,9693,310,1480,28,1852,325,298,739,557,2353,138,971,1384
MGAT3,NW_010972436.1,1732372,1762409,-,30038,776,1004,11,616,107,128,233,35,99,61,943,203
TAB1,NW_010972436.1,1777829,1786747,-,8919,254,883,40,2385,103,65,518,241,556,145,383,624
SYNGR1,NW_010972436.1,1795546,1800236,-,4691,161,575,14,932,81,47,238,58,116,52,411,205
RPL3,NW_010972436.1,1815691,1824055,+,8365,459,5316,173,10258,921,844,2621,2022,6017,644,3408,6883
PDGFB,NW_010972436.1,1860260,1875996,+,15737,496,563,10,295,94,51,157,24,29,39,401,95
CBX7,NW_010972436.1,1900916,1914811,+,13896,392,1351,37,1159,287,164,580,446,1368,138,830,1439
CBX6,NW_010972436.1,1920051,1932637,+,12587,324,291,8,203,33,25,92,26,64,17,219,100
NPTXR,NW_010972436.1,1942312,1951326,+,9015,258,4,0,13,2,3,2,1,6,2,20,4
DNAL4,NW_010972436.1,1958803,1963580,+,4778,129,126,2,155,24,27,39,58,192,10,80,119
LOC104828617,NW_010972436.1,1968099,1973275,+,5177,148,37,1,49,6,10,20,21,59,5,31,38
SUN2,NW_010972436.1,1976148,1983680,+,7533,272,650,15,646,122,75,222,140,337,65,433,439
GTPBP1,NW_010972436.1,1988170,2008175,-,20006,538,1688,46,1875,304,201,705,477,1630,187,937,1474
JOSD1,NW_010972436.1,2009694,2017784,+,8091,289,1264,21,1479,219,156,491,398,1389,161,786,1108
TOMM22,NW_010972436.1,2019361,2021366,-,2006,94,274,5,388,78,53,124,112,406,36,241,309
CBY1,NW_010972436.1,2022061,2023946,-,1886,66,3,0,1,0,0,0,1,3,0,4,3
DMC1,NW_010972436.1,2044747,2055919,+,11173,243,192,5,307,27,13,87,41,201,24,71,75
DDX17,NW_010972436.1,2058467,2079095,+,20629,1446,24008,463,26091,3789,2485,9531,7388,25296,2630,14981,17207
KDELR3,NW_010972436.1,2079890,2085401,-,5512,132,38,0,27,11,14,41,23,208,10,36,35
LOC104828621,NW_010972436.1,2099447,2100532,+,1086,29,0,0,1,0,1,1,0,13,1,2,2
KCNJ4,NW_010972436.1,2103151,2106188,+,3038,74,3,0,0,3,0,6,1,23,0,10,3
CSNK1E,NW_010972436.1,2121985,2144862,+,22878,573,585,9,238,37,39,83,7,41,14,342,90
TMEM184B,NW_010972436.1,2152209,2178997,+,26789,1001,5696,118,6221,941,711,1765,1799,5744,425,3220,4839
MAFF,NW_010972436.1,2181510,2182347,-,838,45,92,3,81,13,17,33,15,78,16,78,40
PLA2G6,NW_010972436.1,2183462,2198998,+,15537,464,1030,17,1437,226,138,501,398,1194,127,693,1033
BAIAP2L2,NW_010972436.1,2201399,2212569,+,11171,350,89,5,153,23,20,66,66,217,22,87,148
SLC16A8,NW_010972436.1,2218507,2224020,+,5514,153,11,0,15,4,2,2,3,18,0,14,11
PICK1,NW_010972436.1,2226349,2235834,-,9486,232,1065,20,1233,131,93,355,310,834,79,473,688
SOX10,NW_010972436.1,2264314,2271968,+,7655,208,5,0,5,2,1,3,2,15,1,27,6
POLR2F,NW_010972436.1,2276904,2280982,-,4079,151,375,7,505,50,61,126,151,455,38,283,402
DLX6,NW_010972436.1,2284147,2291488,-,7342,119,0,0,1,0,0,1,0,1,0,7,0
SHFM1,NW_010972436.1,2414375,2420731,+,6357,345,1343,28,1544,278,246,495,428,1725,172,1041,1127
SLC25A13,NW_010972436.1,2552104,2633375,+,81272,1529,1604,21,1641,177,124,559,352,877,129,997,998
DYNC1I1,NW_010972436.1,2640460,2822011,-,181552,3414,71,2,103,22,17,30,23,99,9,170,66
PDK4,NW_010972436.1,2873396,2882882,+,9487,216,1238,16,6458,261,51,815,314,661,69,317,745
ASB4,NW_010972436.1,2898868,2909273,-,10406,267,7,0,4,3,0,1,2,8,1,15,7
LOC104828646,NW_010972436.1,2929174,2946442,+,17269,487,3978,66,5272,538,531,1469,1715,5454,398,2250,3633
PPP1R9A,NW_010972436.1,2956335,3098164,-,141830,2501,213,2,185,24,14,61,35,163,15,174,68
SGCE,NW_010972436.1,3149071,3167839,+,18769,323,79,1,69,5,6,32,4,34,3,63,28
CASD1,NW_010972436.1,3171037,3195125,-,24089,426,968,13,1241,146,103,325,299,1168,90,638,1001
TRNAN-GUU,NW_010972436.1,3215039,3215112,+,74,12,0,0,1,0,0,0,0,0,0,2,0
COL1A2,NW_010972436.1,3224961,3267037,-,42077,723,14,0,16,0,3,6,6,22,1,24,9
BET1,NW_010972436.1,3474162,3480494,+,6333,116,294,10,166,18,18,62,41,178,15,180,148
LOC104828650,NW_010972436.1,3484233,3562391,-,78159,1589,1557,17,486,91,164,460,460,1330,141,931,1071
GNG11,NW_010972436.1,3577982,3578898,-,917,30,11,0,9,2,2,6,2,12,1,9,17
TFPI2,NW_010972436.1,3583537,3589908,+,6372,113,68,1,31,0,5,11,5,9,5,63,27
LOC104828670,NW_010972436.1,3618099,3620974,+,2876,1182,153,1,100,12,39,59,120,409,7,276,225
CALCR,NW_010972436.1,3780408,3900183,+,119776,2342,58,2,60,16,6,11,24,51,5,106,52
CCDC132,NW_010972436.1,3954980,4054789,-,99810,1767,5118,84,5735,810,519,1481,1543,5144,533,3220,4173
HEPACAM2,NW_010972436.1,4057863,4079123,+,21261,404,16,1,21,3,4,4,3,25,3,28,14
LOC104833919,NW_010972436.1,4098430,4104349,+,5920,118,112,2,71,29,4,25,5,17,9,134,5
CDK6,NW_010972436.1,4190396,4315646,+,125251,2233,1404,16,670,105,57,323,175,199,69,718,311
FAM133B,NW_010972436.1,4336416,4350677,+,14262,377,1629,28,1769,193,234,527,567,2088,132,1251,1666
EFCAB1,NW_010972436.1,4351354,4358947,+,7594,159,48,0,53,5,3,15,8,44,1,34,29
RBM48,NW_010972436.1,4358858,4363998,-,5141,89,380,8,423,72,60,147,126,507,43,236,359
PEX1,NW_010972436.1,4364222,4392076,+,27855,411,1281,26,1559,225,193,488,462,1676,128,821,1264
LOC104828683,NW_010972436.1,4393669,4413021,+,19353,344,48,2,22,3,4,17,5,47,2,37,17
GATAD1,NW_010972436.1,4428498,4432988,-,4491,81,282,7,292,42,37,91,70,184,20,166,266
ANKIB1,NW_010972436.1,4441090,4538219,-,97130,1784,2418,37,2223,302,248,790,607,2020,247,1766,1949
KRIT1,NW_010972436.1,4539087,4564963,+,25877,374,1003,18,1046,117,130,283,315,1028,105,586,1001
LRRD1,NW_010972436.1,4562780,4565653,+,2874,12,5,0,7,0,0,2,1,2,1,6,1
LOC104835138,NW_010972436.1,4566352,4579571,+,13220,224,191,2,167,17,18,56,39,151,17,111,124
AKAP9,NW_010972436.1,4580319,4704663,-,124345,4082,23141,376,28236,3480,1931,8891,6336,20559,2587,12673,16522
LOC104828699,NW_010972436.1,4708371,4717128,+,8758,174,2,1,9,2,2,2,3,5,1,6,5
FZD1,NW_010972436.1,4983852,4985653,-,1802,38,2,0,1,1,0,0,0,1,0,7,2
CDK14,NW_010972436.1,5024302,5279609,-,255308,4307,1272,16,939,147,156,361,70,230,77,1383,322
LOC104828711,NW_010972436.1,5373468,5400311,-,26844,505,1869,25,2115,253,162,601,462,1390,218,1253,1317
CLDN12,NW_010972436.1,5418284,5426894,-,8611,132,344,9,381,39,34,93,86,338,23,173,280
GTPBP10,NW_010972436.1,5430534,5443032,-,12499,280,1116,29,1735,85,48,302,158,1040,70,712,925
LOC104835997,NW_010972436.1,5455093,5456515,+,1423,25,1,0,1,2,0,0,0,2,0,1,1
CFAP69,NW_010972436.1,5460354,5491086,-,30733,581,34,0,33,8,13,11,7,25,4,43,13
STEAP2,NW_010972436.1,5499103,5509882,-,10780,151,156,0,92,20,17,30,11,23,14,138,17
STEAP1,NW_010972436.1,5527046,5536998,-,9953,173,5,0,2,3,0,2,0,7,0,22,6
ZNF804B,NW_010972436.1,5845499,5949386,-,103888,1590,59,1,59,16,7,22,15,67,3,64,36
STEAP4,NW_010972436.1,6237490,6258794,+,21305,391,975,19,444,28,56,114,31,102,19,671,276
SRI,NW_010972436.1,6277516,6285194,+,7679,151,223,0,103,16,8,42,7,16,6,108,33
ADAM22,NW_010972436.1,6294024,6430088,-,136065,2431,95,2,89,15,14,35,21,86,10,119,49
DBF4,NW_010972436.1,6440413,6454037,-,13625,197,402,3,387,48,33,116,86,213,30,242,230
SLC25A40,NW_010972436.1,6457934,6478729,+,20796,391,28,4,19,4,7,12,13,27,2,39,14
RUNDC3B,NW_010972436.1,6482386,6528677,-,46292,721,28,0,34,9,3,9,12,52,3,41,27
LOC104836402,NW_010972436.1,6561608,6606437,+,44830,657,13,1,24,8,1,9,9,35,4,29,19
LOC104828762,NW_010972436.1,6615667,6665360,+,49694,923,26,1,47,5,6,16,11,30,1,47,24
CROT,NW_010972436.1,6667606,6692234,-,24629,458,658,12,810,85,47,271,187,269,47,520,481
ACBD7,NW_010972436.1,6703012,6711903,-,8892,133,5,0,8,0,0,3,4,3,0,4,13
RPP38,NW_010972436.1,6713424,6716600,+,3177,78,85,3,145,13,7,23,24,45,5,58,99
NMT2,NW_010972436.1,6719230,6754426,-,35197,643,345,6,251,34,21,91,49,51,31,264,165
FAM171A1,NW_010972436.1,6766843,6804285,-,37443,769,37,1,32,6,2,14,10,20,7,50,22
ITGA8,NW_010972436.1,6922700,7041909,-,119210,2069,92,6,232,25,14,43,24,95,17,117,105
FAM188A,NW_010972436.1,7049526,7109657,-,60132,1225,11797,210,15566,1773,1402,3716,4556,14674,1323,7492,11283
PTER,NW_010972436.1,7283508,7294055,+,10548,183,27,0,18,1,1,7,2,6,2,22,3
C1QL3,NW_010972436.1,7296767,7302832,-,6066,97,8,0,6,2,0,3,1,1,1,9,6
RSU1,NW_010972436.1,7330037,7446470,-,116434,2436,6393,129,4196,719,696,1687,675,1757,416,5474,1915
CUBN,NW_010972436.1,7449881,7598674,-,148794,2793,1827,41,3218,354,144,199,362,1461,106,630,2113
TRDMT1,NW_010972436.1,7610010,7650848,-,40839,893,7490,130,8095,1047,833,2205,2066,7981,711,4190,5635
VIM,NW_010972436.1,7652142,7660871,+,8730,666,14172,289,13704,1735,1173,4005,3479,10903,1145,7364,10447
ST8SIA6,NW_010972436.1,7686801,7726961,-,40161,785,30,0,26,1,0,9,8,23,1,48,22
PTPLA,NW_010972436.1,7765954,7779316,-,13363,217,63,1,33,11,6,10,3,12,5,42,11
STAM,NW_010972436.1,7800891,7827701,+,26811,547,2025,28,2554,354,239,862,721,2146,242,1688,2296
LOC104838311,NW_010972436.1,7848237,7909793,+,61557,1033,37,0,42,13,10,14,12,37,3,50,26
LOC104838393,NW_010972436.1,7915653,7947446,+,31794,564,7,0,27,9,6,8,2,15,0,34,15
LOC104828793,NW_010972436.1,7969593,8004355,+,34763,595,20,1,27,7,3,10,6,24,1,33,25
LOC104828799,NW_010972436.1,8007376,8040906,+,33531,546,12,0,16,3,0,5,1,22,2,25,12
LOC104838475,NW_010972436.1,8043460,8076830,+,33371,522,14,0,36,3,4,8,1,18,1,25,11
SLC39A12,NW_010972436.1,8109867,8144801,+,34935,517,14,1,25,2,3,7,1,17,1,23,17
CACNB2,NW_010972436.1,8175530,8438855,+,263326,4444,137,7,176,41,24,69,49,148,16,237,93
NSUN6,NW_010972436.1,8444355,8465115,-,20761,373,243,4,222,23,33,54,77,160,15,120,161
ARL5B,NW_010972436.1,8470608,8487119,+,16512,292,72,1,50,7,5,18,6,23,6,40,24
MALRD1,NW_010972436.1,8599605,8894795,+,295191,4667,176,6,223,40,34,73,64,207,12,259,136
PLXDC2,NW_010972436.1,8924428,9202653,+,278226,4552,1681,29,299,65,50,145,55,176,44,776,159
NEBL,NW_010972436.1,9400673,9492380,-,91708,1433,52,0,66,6,10,19,10,50,4,60,42
SKIDA1,NW_010972436.1,9756250,9758680,-,2431,44,55,1,30,3,1,10,2,8,2,18,13
MLLT10,NW_010972436.1,9776460,9913413,+,136954,2784,8499,162,9008,1217,890,2738,2473,8535,840,5667,7362
DNAJC1,NW_010972436.1,9915490,10090702,-,175213,2887,945,13,518,92,75,203,89,190,46,755,303
TRNAN-GUU_1,NW_010972436.1,10091157,10091230,-,74,4,0,0,0,0,0,0,0,0,0,0,1
COMMD3,NW_010972436.1,10120723,10124309,+,3587,76,31,1,22,4,4,8,5,8,1,31,9
BMI1,NW_010972436.1,10128179,10135161,+,6983,137,35,3,18,1,2,11,6,7,4,27,12
SPAG6,NW_010972436.1,10156759,10180171,+,23413,381,14,4,17,4,2,4,2,25,3,19,9
PIP4K2A,NW_010972436.1,10239945,10353529,-,113585,2330,13476,220,9613,1317,1129,3116,1984,4637,870,9747,5887
ARMC3,NW_010972436.1,10412782,10464898,+,52117,791,25,3,29,5,4,12,5,30,3,41,23
MSRB2,NW_010972436.1,10481513,10489862,+,8350,154,4,0,4,0,1,1,2,5,0,8,0
PTF1A,NW_010972436.1,10512774,10516490,+,3717,76,1,0,1,0,0,0,0,0,0,5,2
LOC104840362,NW_010972436.1,10856385,10959814,+,103430,1907,149,2,74,21,10,24,15,63,4,114,41
KIAA1217,NW_010972436.1,10989272,11042427,+,53156,1043,86,1,38,5,7,6,3,23,2,63,26
LOC104840215,NW_010972436.1,11039877,11041863,+,1987,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP21,NW_010972436.1,11050415,11173350,-,122936,2216,2041,34,1300,207,253,638,183,306,134,1890,825
PRTFDC1,NW_010972436.1,11203734,11249542,-,45809,824,58,1,53,10,16,20,12,19,1,57,24
ENKUR,NW_010972436.1,11262413,11275884,-,13472,201,9,0,10,3,3,0,2,8,1,9,3
THNSL1,NW_010972436.1,11280164,11282540,+,2377,55,7,1,4,1,0,2,1,3,0,2,3
GPR158,NW_010972436.1,11347086,11552412,+,205327,3752,84,3,101,18,14,50,34,112,12,185,82
MYO3A,NW_010972436.1,11654253,11780396,+,126144,2265,82,7,83,18,9,33,18,60,6,117,48
GAD2,NW_010972436.1,11782832,11822713,+,39882,778,232,1,159,23,12,16,5,19,21,52,8
APBB1IP,NW_010972436.1,11901506,11970321,+,68816,1296,1117,22,536,88,59,252,36,66,54,763,181
LOC104828880,NW_010972436.1,11976946,12003047,-,26102,427,173,5,95,14,10,39,16,50,5,115,68
PDSS1,NW_010972436.1,12005284,12026842,+,21559,399,269,3,120,19,16,39,16,35,8,177,53
ABI1,NW_010972436.1,12027730,12112259,-,84530,1881,4282,73,2930,391,379,1112,733,1993,311,3059,2339
ACBD5,NW_010972436.1,12133128,12163500,+,30373,573,869,26,1178,178,123,437,443,1377,112,574,1017
MASTL,NW_010972436.1,12167820,12186668,-,18849,305,161,1,197,32,20,74,71,305,18,94,171
YME1L1,NW_010972436.1,12190717,12213406,+,22690,423,2704,51,3746,527,425,1201,1034,3884,338,2001,2983
PTCHD3,NW_010972436.1,12218571,12226493,-,7923,193,349,12,354,39,51,102,38,231,26,256,148
LOC104828905,NW_010972436.1,12247902,12262839,+,14938,341,428,6,215,22,15,44,15,41,15,222,71
RAB18,NW_010972436.1,12308922,12325277,+,16356,368,1893,30,1944,288,231,633,568,2081,165,1126,1298
TRNAN-GUU_2,NW_010972436.1,12329073,12329146,-,74,11,1,0,3,0,0,1,0,2,0,2,0
MKX,NW_010972436.1,12389811,12449463,-,59653,963,11,0,31,5,6,7,6,31,2,40,16
ARMC4,NW_010972436.1,12467460,12555529,-,88070,1452,47,0,61,18,9,13,15,86,1,70,29
MPP7,NW_010972436.1,12580083,12729446,-,149364,2581,5788,74,5728,688,437,1510,1358,3338,346,2265,3709
LOC104841904,NW_010972436.1,12758649,12778064,-,19416,455,1217,26,1441,205,156,335,345,1374,112,753,1052
WAC,NW_010972436.1,12778697,12842675,+,63979,1739,13405,246,16335,2271,1724,4789,3868,15128,1326,8546,10607
BAMBI,NW_010972436.1,12872691,12876998,+,4308,96,142,3,131,24,36,81,23,63,7,193,78
LOC104828928,NW_010972436.1,13139539,13142409,+,2871,76,39,0,15,1,2,3,4,4,3,5,2
MAP3K8,NW_010972436.1,13205891,13221424,-,15534,346,1162,22,480,85,51,148,44,140,30,589,267
MTPAP,NW_010972436.1,13226645,13241956,+,15312,323,1210,19,1362,172,99,287,390,1158,121,675,1058
KIAA1462,NW_010972436.1,13340855,13357394,+,16540,380,242,0,101,14,70,23,2,34,3,261,55
SVIL,NW_010972436.1,13537015,13604342,+,67328,1281,2532,38,1074,172,252,380,74,178,55,1885,326
ZNF438,NW_010972436.1,13665684,13689265,-,23582,354,702,12,868,110,82,257,183,720,76,630,573
ZEB1,NW_010972436.1,13826155,13949199,+,123045,3338,40272,714,58384,6241,3541,14849,14095,32612,4414,22651,31640
ARHGAP12,NW_010972436.1,14025888,14098238,-,72351,1239,1312,19,418,45,31,152,48,100,51,593,239
KIF5B,NW_010972436.1,14136456,14174698,-,38243,1265,8061,128,10175,1199,883,2890,2226,8226,857,4915,6602
EPC1,NW_010972436.1,14216917,14288079,-,71163,1669,11069,203,13168,1778,1322,4413,3407,12546,1236,7235,7723
ITGB1,NW_010972436.1,14335906,14363533,-,27628,480,1749,38,1119,154,106,289,109,202,70,979,313
NRP1,NW_010972436.1,14442196,14556425,-,114230,2255,839,21,509,48,89,179,36,93,36,701,163
PARD3,NW_010972436.1,14860976,15321520,-,460545,7827,315,6,375,86,60,120,110,397,22,440,175
CUL2,NW_010972436.1,15372119,15426893,-,54775,902,4360,65,5320,510,363,1317,1004,3521,409,2528,3556
CREM,NW_010972436.1,15441504,15477467,+,35964,907,12736,349,22091,1715,1072,6081,2724,9989,1224,7326,9784
CCNY,NW_010972436.1,15504522,15631664,+,127143,2498,8232,308,17851,842,512,2737,725,3011,1194,7601,11494
GJD4,NW_010972436.1,15649106,15653796,+,4691,85,19,0,9,0,0,3,1,6,0,9,2
FZD8,NW_010972436.1,15671887,15681033,-,9147,103,12,0,19,7,2,6,3,15,2,12,20
LOC104842849,NW_010972436.1,16181815,16199063,-,17249,309,8,0,13,3,2,7,0,15,1,17,5
TRNAG-UCC,NW_010972436.1,16195972,16196043,+,72,0,0,0,0,0,0,0,0,0,0,0,0
KLF6,NW_010972436.1,16811096,16820071,+,8976,197,1554,18,624,109,92,243,52,107,58,901,240
PITRM1,NW_010972436.1,17134538,17165544,+,31007,657,1754,43,2887,331,227,594,571,1691,180,1084,1551
PFKP,NW_010972436.1,17166327,17213312,-,46986,827,6137,80,2518,232,148,529,329,714,179,2571,1255
ADARB2,NW_010972436.1,18188902,18301615,+,112714,2366,70,1,50,14,7,14,9,32,8,138,39
WDR37,NW_010972436.1,18335910,18374979,-,39070,723,3999,62,4288,528,395,1380,1218,4349,394,2420,3929
IDI1,NW_010972436.1,18392084,18397657,+,5574,143,635,10,642,77,47,173,151,367,40,390,407
GTPBP4,NW_010972436.1,18401161,18413961,-,12801,321,1082,18,973,181,109,403,304,938,101,589,941
LARP4B,NW_010972436.1,18485967,18527232,+,41266,891,3859,77,3804,569,392,1521,987,3587,358,2488,2643
DIP2C,NW_010972436.1,18766340,18921186,+,154847,2784,548,17,593,90,26,178,106,199,56,256,421
ZMYND11,NW_010972436.1,18935282,19045172,-,109891,2286,9536,165,11039,1251,948,3170,3462,10352,1060,6780,9171
LOC104828992,NW_010972436.1,19187294,19187830,+,537,11,0,0,0,0,0,0,0,0,0,0,1
VIPR2,NW_010972436.1,19187855,19246574,+,58720,1000,24,1,32,10,2,14,9,35,3,50,17
WDR60,NW_010972436.1,19309252,19343163,-,33912,492,129,5,117,16,14,53,18,57,7,94,69
ESYT2,NW_010972436.1,19350153,19441018,+,90866,1624,6550,95,6581,616,500,1837,1138,3284,634,4064,4409
NCAPG2,NW_010972436.1,19450624,19500934,+,50311,797,118,1,93,12,16,39,27,107,10,97,54
PTPRN2,NW_010972436.1,19654172,20177887,+,523716,8317,251,4,319,69,34,128,83,299,28,402,183
DNAJB6,NW_010972436.1,20260836,20342778,-,81943,1891,13977,328,19849,2416,1461,6144,3676,14041,1843,8061,9322
UBE3C,NW_010972436.1,20352878,20432998,-,80121,1312,2644,33,2174,345,197,843,668,2156,225,1528,1795
MNX1,NW_010972436.1,20474816,20478158,+,3343,74,0,0,1,2,0,0,0,0,0,7,1
NOM1,NW_010972436.1,20489360,20504505,-,15146,274,155,2,246,46,25,63,90,351,17,169,218
LMBR1,NW_010972436.1,20527813,20599874,+,72062,1545,10534,211,13129,1567,1061,3783,2715,9093,1221,5403,8387
RNF32,NW_010972436.1,20609625,20624734,-,15110,228,97,0,96,19,12,62,18,88,11,73,55
SHH,NW_010972436.1,20973959,20983969,+,10011,210,1,0,4,3,0,2,3,1,2,10,3
RBM33,NW_010972436.1,21015459,21121102,-,105644,5194,27186,492,30892,4536,3520,10018,8208,31307,2986,16385,22463
LOC104829042,NW_010972436.1,21121062,21193572,+,72511,1662,62,2,104,9,17,25,46,152,20,170,126
EN2,NW_010972436.1,21235402,21236025,-,624,18,0,0,0,0,0,0,0,0,0,2,1
INSIG1,NW_010972436.1,21294914,21302257,-,7344,143,152,4,134,12,9,31,22,48,5,56,45
HTR5A,NW_010972436.1,21443375,21446327,-,2953,69,0,0,0,0,0,0,0,0,0,4,1
PAXIP1,NW_010972436.1,21467396,21502794,+,35399,666,1332,22,1280,159,152,295,261,929,90,572,884
DPP6,NW_010972436.1,21548410,21808385,-,259976,4831,213,2,156,29,14,55,35,152,10,217,98
ACTR3B,NW_010972436.1,22483894,22510693,-,26800,519,1846,27,1813,285,234,715,523,1877,185,1316,1439
XRCC2,NW_010972436.1,22533028,22547605,+,14578,278,648,12,518,97,68,193,73,174,44,540,256
KMT2C,NW_010972436.1,22605440,22786629,+,181190,10548,60543,1252,66344,9802,6132,19520,16433,55059,5610,36835,46105
LOC104843215,NW_010972436.1,22784473,22789721,-,5249,79,23,0,18,4,0,9,5,7,0,18,6
GALNT11,NW_010972436.1,22790282,22835980,-,45699,866,139,3,124,19,13,55,21,46,4,125,63
PRKAG2,NW_010972436.1,22944255,23101340,+,157086,3140,2999,54,2273,309,213,807,505,1128,230,1606,1546
RHEB,NW_010972436.1,23107196,23149942,+,42747,933,3936,73,4540,642,536,1427,1070,4516,389,2293,3430
