GeneID,Chr,Start,End,Strand,Length,Eagle_002_null,Eagle_002_lps,Eagle_004_null,Eagle_004_lps,Eagle_006_null,Eagle_006_lps,Eagle_007_null,Eagle_007_lps,Eagle_008_null,Eagle_008_lps,Eagle_012_null,Eagle_012_lps,Eagle_013_null,Eagle_013_lps,Eagle_014_null,Eagle_014_lps,Eagle_015_null,Eagle_015_lps,Eagle_020_null,Eagle_020_lps,Eagle_021_null,Eagle_021_lps,Eagle_022_null,Eagle_022_lps
SREBF2,NW_010972436.1,418814,437788,-,18975,2047,595,1494,1697,1969,33,1871,2214,1360,293,438,208,698,544,796,363,1127,999,1637,161,1217,1002,1493,1236
CCDC134,NW_010972436.1,444080,447671,-,3592,45,109,16,40,24,1,15,26,17,6,4,7,4,17,12,0,5,3,25,5,16,45,27,7
MEI1,NW_010972436.1,452450,485342,-,32893,167,738,111,109,126,0,88,140,86,15,27,12,55,36,85,31,123,120,122,9,95,75,172,105
NHP2L1,NW_010972436.1,487168,492403,+,5236,2914,167,1774,1649,3525,30,2177,2662,1611,300,1019,281,979,577,1459,725,3215,2310,2189,160,2174,1201,1671,2090
XRCC6,NW_010972436.1,493533,506793,-,13261,367,238,235,257,330,10,507,653,236,53,104,43,193,147,143,64,262,183,393,30,234,168,318,214
DESI1,NW_010972436.1,506989,524355,+,17367,3072,463,2061,2606,3216,44,4441,6503,2542,512,896,429,2806,1730,1296,726,2245,2127,5936,592,2579,1877,4289,3000
PMM1,NW_010972436.1,528350,539788,+,11439,447,358,325,530,1734,28,3499,4490,721,172,195,115,1584,1046,566,436,593,629,1127,137,918,729,1072,835
CSDC2,NW_010972436.1,542215,549930,-,7716,13,243,8,4,8,0,9,17,6,1,1,2,8,10,7,0,8,6,15,0,12,15,12,5
POLR3H,NW_010972436.1,555563,562948,+,7386,580,189,259,301,650,10,667,871,345,62,162,57,259,150,276,152,559,469,417,54,465,291,405,411
ACO2,NW_010972436.1,564115,586198,-,22084,973,517,656,806,991,13,694,950,574,120,280,102,532,316,503,227,937,831,788,75,560,521,900,596
PHF5A,NW_010972436.1,586251,593414,+,7164,1435,165,789,788,1295,15,912,1048,807,158,377,117,566,340,620,290,1369,1043,989,69,799,481,803,848
TOB2,NW_010972436.1,598342,608239,+,9898,1718,346,1339,1666,2051,39,1848,1844,1240,289,442,233,948,668,922,450,1565,1404,1727,171,1024,881,2105,1131
TEF,NW_010972436.1,632886,648546,-,15661,2325,483,1921,2264,3277,44,2401,2995,1760,351,669,241,1393,836,1437,600,2268,2203,2626,188,1679,1189,3001,1917
ZC3H7B,NW_010972436.1,659422,708071,-,48650,9071,1677,7736,7969,13551,164,10045,12735,7585,1610,2725,969,4370,2961,5839,2790,9353,8006,10807,1091,7975,5275,6576,7368
RANGAP1,NW_010972436.1,712348,732650,+,20303,1137,438,863,852,1503,22,848,1028,655,127,229,82,398,273,522,216,738,636,939,59,624,444,1078,689
CHADL,NW_010972436.1,735336,741777,+,6442,82,123,51,44,65,0,41,52,58,13,25,9,22,19,30,15,71,65,55,6,38,36,70,48
L3MBTL2,NW_010972436.1,743645,761181,-,17537,1049,492,539,588,836,14,605,728,579,97,243,88,319,223,395,220,891,713,566,47,580,413,629,626
LOC104828703,NW_010972436.1,762116,765769,-,3654,118,66,62,72,167,1,89,89,70,13,31,11,61,30,77,34,101,68,101,11,84,71,125,80
LOC104828879,NW_010972436.1,775629,842676,-,67048,33001,3329,21763,24329,36166,545,21760,27241,22398,4933,7967,3176,14217,9999,15789,8144,28514,26699,27551,2379,18115,12448,27846,19599
RBX1,NW_010972436.1,872365,884637,-,12273,352,235,227,248,276,6,244,264,171,40,71,33,148,72,184,103,284,244,231,12,203,157,318,202
XPNPEP3,NW_010972436.1,886625,919068,-,32444,2571,746,1163,1236,2146,21,1342,1832,1268,223,710,240,896,614,1136,549,2421,1971,1523,165,1843,1074,1807,1789
ST13,NW_010972436.1,925877,944431,+,18555,3757,509,2348,2857,7094,85,3256,4154,2884,556,1263,453,2562,1865,2205,959,3475,3758,5222,468,2883,2084,10065,2848
SLC25A17,NW_010972436.1,952918,972926,+,20009,410,334,336,344,513,9,334,309,234,32,99,25,205,156,281,102,416,313,331,29,258,200,355,188
MKL1,NW_010972436.1,1073360,1101351,+,27992,1558,747,1484,1840,1168,36,2064,1444,1038,244,266,216,707,501,965,220,976,803,1960,126,852,1386,2833,710
SGSM3,NW_010972436.1,1106693,1136890,-,30198,1436,748,1005,1218,1303,17,940,839,680,120,218,110,385,303,394,162,660,655,893,63,607,614,1043,586
ADSL,NW_010972436.1,1139082,1157004,-,17923,1157,388,652,1039,626,14,538,570,528,96,194,82,365,200,463,190,765,773,631,46,523,504,988,488
TNRC6B,NW_010972436.1,1170301,1283380,-,113080,94265,6768,78974,95164,131832,1914,98184,130931,73990,15404,29857,9951,50343,33189,54384,26167,89532,84457,112534,10931,74015,51819,117200,71372
FAM83F,NW_010972436.1,1322886,1341119,-,18234,35,418,22,10,18,1,15,7,9,2,10,0,8,10,9,6,32,12,17,2,12,17,11,6
GRAP2,NW_010972436.1,1362463,1439070,-,76608,322,1412,324,381,86,9,390,275,164,36,28,29,213,181,230,19,118,65,474,26,138,419,708,88
CACNA1I,NW_010972436.1,1486828,1643190,-,156363,305,3831,123,74,87,1,90,73,82,14,37,21,32,36,77,29,230,75,94,8,81,196,148,64
RPS19BP1,NW_010972436.1,1689151,1692327,+,3177,3025,149,1416,1436,2374,33,1572,1927,1352,270,871,233,869,475,1225,571,2588,2086,1747,150,1485,846,1425,1523
ATF4,NW_010972436.1,1700334,1703769,-,3436,3919,253,2585,3330,4056,61,2953,2881,2277,524,1066,463,2033,1695,2286,957,4854,3624,3654,340,2603,2059,2929,2497
MIEF1,NW_010972436.1,1713369,1723061,-,9693,2895,310,1482,1480,2115,28,1653,1852,1720,325,781,298,1168,739,1128,557,2686,2353,1750,138,1590,971,1377,1384
MGAT3,NW_010972436.1,1732372,1762409,-,30038,523,776,504,1004,90,11,742,616,268,107,19,128,248,233,383,35,170,99,557,61,223,943,1563,203
TAB1,NW_010972436.1,1777829,1786747,-,8919,747,254,699,883,1729,40,1663,2385,565,103,186,65,930,518,425,241,693,556,1381,145,484,383,821,624
SYNGR1,NW_010972436.1,1795546,1800236,-,4691,300,161,287,575,323,14,802,932,122,81,18,47,341,238,116,58,112,116,426,52,123,411,474,205
RPL3,NW_010972436.1,1815691,1824055,+,8365,8371,459,4869,5316,11268,173,7963,10258,4359,921,2432,844,4261,2621,3636,2022,7174,6017,8638,644,5311,3408,7063,6883
PDGFB,NW_010972436.1,1860260,1875996,+,15737,121,496,197,563,34,10,303,295,74,94,7,51,64,157,98,24,62,29,177,39,43,401,503,95
CBX7,NW_010972436.1,1900916,1914811,+,13896,2577,392,1063,1351,2506,37,1184,1159,1329,287,370,164,899,580,1026,446,1480,1368,1810,138,794,830,2800,1439
CBX6,NW_010972436.1,1920051,1932637,+,12587,240,324,196,291,104,8,401,203,172,33,22,25,126,92,116,26,95,64,265,17,110,219,495,100
NPTXR,NW_010972436.1,1942312,1951326,+,9015,15,258,6,4,7,0,7,13,13,2,2,3,2,2,4,1,16,6,8,2,12,20,12,4
DNAL4,NW_010972436.1,1958803,1963580,+,4778,204,129,130,126,160,2,122,155,125,24,67,27,72,39,109,58,220,192,131,10,122,80,118,119
LOC104828617,NW_010972436.1,1968099,1973275,+,5177,42,148,40,37,53,1,54,49,46,6,27,10,16,20,30,21,66,59,44,5,35,31,45,38
SUN2,NW_010972436.1,1976148,1983680,+,7533,857,272,523,650,715,15,764,646,562,122,88,75,265,222,249,140,429,337,684,65,338,433,623,439
GTPBP1,NW_010972436.1,1988170,2008175,-,20006,2470,538,1479,1688,2343,46,1531,1875,1527,304,499,201,1065,705,1018,477,1923,1630,2028,187,1323,937,2138,1474
JOSD1,NW_010972436.1,2009694,2017784,+,8091,1649,289,1051,1264,2146,21,1288,1479,1066,219,412,156,680,491,852,398,1427,1389,1622,161,1142,786,1736,1108
TOMM22,NW_010972436.1,2019361,2021366,-,2006,650,94,338,274,442,5,414,388,384,78,145,53,165,124,265,112,527,406,390,36,300,241,257,309
CBY1,NW_010972436.1,2022061,2023946,-,1886,2,66,3,3,0,0,4,1,6,0,0,0,0,0,1,1,3,3,0,0,2,4,4,3
DMC1,NW_010972436.1,2044747,2055919,+,11173,191,243,208,192,161,5,254,307,136,27,58,13,108,87,80,41,204,201,201,24,100,71,100,75
DDX17,NW_010972436.1,2058467,2079095,+,20629,28255,1446,20183,24008,32633,463,20830,26091,18411,3789,7307,2485,13502,9531,18423,7388,29520,25296,29358,2630,22190,14981,23556,17207
KDELR3,NW_010972436.1,2079890,2085401,-,5512,118,132,47,38,33,0,31,27,53,11,44,14,49,41,36,23,167,208,71,10,37,36,48,35
LOC104828621,NW_010972436.1,2099447,2100532,+,1086,11,29,1,0,1,0,0,1,1,0,0,1,2,1,0,0,10,13,3,1,0,2,3,2
KCNJ4,NW_010972436.1,2103151,2106188,+,3038,17,74,2,3,4,0,2,0,5,3,7,0,4,6,4,1,25,23,4,0,1,10,8,3
CSNK1E,NW_010972436.1,2121985,2144862,+,22878,386,573,427,585,161,9,333,238,132,37,12,39,100,83,179,7,106,41,288,14,151,342,555,90
TMEM184B,NW_010972436.1,2152209,2178997,+,26789,7924,1001,5072,5696,7607,118,5545,6221,4565,941,1892,711,2692,1765,3490,1799,6691,5744,5474,425,4740,3220,5931,4839
MAFF,NW_010972436.1,2181510,2182347,-,838,107,45,55,92,78,3,96,81,70,13,22,17,47,33,37,15,90,78,109,16,40,78,90,40
PLA2G6,NW_010972436.1,2183462,2198998,+,15537,1658,464,1090,1030,1456,17,1302,1437,1060,226,375,138,635,501,675,398,1555,1194,1218,127,911,693,899,1033
BAIAP2L2,NW_010972436.1,2201399,2212569,+,11171,243,350,83,89,203,5,110,153,160,23,58,20,115,66,85,66,220,217,179,22,106,87,151,148
SLC16A8,NW_010972436.1,2218507,2224020,+,5514,32,153,5,11,10,0,5,15,17,4,7,2,6,2,5,3,27,18,8,0,11,14,15,11
PICK1,NW_010972436.1,2226349,2235834,-,9486,1060,232,969,1065,1236,20,1035,1233,721,131,285,93,547,355,551,310,998,834,806,79,625,473,838,688
SOX10,NW_010972436.1,2264314,2271968,+,7655,40,208,8,5,5,0,4,5,12,2,5,1,4,3,4,2,19,15,7,1,9,27,9,6
POLR2F,NW_010972436.1,2276904,2280982,-,4079,682,151,361,375,525,7,433,505,364,50,171,61,187,126,230,151,543,455,379,38,424,283,270,402
DLX6,NW_010972436.1,2284147,2291488,-,7342,10,119,2,0,1,0,2,1,0,0,1,0,0,1,2,0,2,1,2,0,4,7,5,0
SHFM1,NW_010972436.1,2414375,2420731,+,6357,1723,345,1367,1343,1755,28,1557,1544,1320,278,711,246,632,495,880,428,1870,1725,1719,172,1311,1041,1225,1127
SLC25A13,NW_010972436.1,2552104,2633375,+,81272,1769,1529,1517,1604,1784,21,1295,1641,967,177,419,124,806,559,871,352,1245,877,1558,129,1077,997,1025,998
DYNC1I1,NW_010972436.1,2640460,2822011,-,181552,332,3414,133,71,101,2,75,103,90,22,56,17,32,30,64,23,222,99,85,9,90,170,129,66
PDK4,NW_010972436.1,2873396,2882882,+,9487,2768,216,829,1238,1298,16,4323,6458,1324,261,171,51,1716,815,523,314,682,661,643,69,379,317,1198,745
ASB4,NW_010972436.1,2898868,2909273,-,10406,24,267,7,7,8,0,4,4,4,3,4,0,6,1,7,2,11,8,6,1,7,15,5,7
LOC104828646,NW_010972436.1,2929174,2946442,+,17269,4889,487,3600,3978,5388,66,3942,5272,3258,538,1573,531,2433,1469,3330,1715,6186,5454,4572,398,3706,2250,3654,3633
PPP1R9A,NW_010972436.1,2956335,3098164,-,141830,400,2501,218,213,94,2,145,185,129,24,36,14,65,61,123,35,206,163,157,15,79,174,242,68
SGCE,NW_010972436.1,3149071,3167839,+,18769,74,323,75,79,26,1,41,69,38,5,16,6,21,32,46,4,54,34,80,3,46,63,104,28
CASD1,NW_010972436.1,3171037,3195125,-,24089,1171,426,1089,968,1269,13,1069,1241,760,146,374,103,602,325,830,299,1400,1168,1234,90,983,638,905,1001
TRNAN-GUU,NW_010972436.1,3215039,3215112,+,74,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
COL1A2,NW_010972436.1,3224961,3267037,-,42077,77,723,43,14,29,0,35,16,23,0,12,3,2,6,17,6,62,22,20,1,17,24,25,9
BET1,NW_010972436.1,3474162,3480494,+,6333,324,116,226,294,230,10,123,166,114,18,62,18,100,62,139,41,245,178,209,15,203,180,177,148
LOC104828650,NW_010972436.1,3484233,3562391,-,78159,1745,1589,1414,1557,1629,17,409,486,594,91,493,164,713,460,1008,460,1577,1330,1516,141,1105,931,1148,1071
GNG11,NW_010972436.1,3577982,3578898,-,917,19,30,10,11,18,0,9,9,12,2,3,2,12,6,5,2,13,12,9,1,11,9,13,17
TFPI2,NW_010972436.1,3583537,3589908,+,6372,50,113,39,68,33,1,4,31,6,0,0,5,4,11,11,5,10,9,29,5,20,63,69,27
LOC104828670,NW_010972436.1,3618099,3620974,+,2876,308,1182,138,153,56,1,62,100,74,12,96,39,89,59,296,120,467,409,73,7,277,276,509,225
CALCR,NW_010972436.1,3780408,3900183,+,119776,202,2342,104,58,56,2,43,60,46,16,24,6,11,11,42,24,137,51,62,5,53,106,71,52
CCDC132,NW_010972436.1,3954980,4054789,-,99810,5650,1767,5028,5118,6349,84,4630,5735,4409,810,1691,519,2406,1481,3747,1543,6151,5144,5030,533,4012,3220,4386,4173
HEPACAM2,NW_010972436.1,4057863,4079123,+,21261,45,404,20,16,16,1,13,21,17,3,8,4,9,4,12,3,38,25,20,3,18,28,30,14
LOC104833919,NW_010972436.1,4098430,4104349,+,5920,16,118,11,112,6,2,17,71,19,29,2,4,8,25,9,5,17,17,17,9,5,134,21,5
CDK6,NW_010972436.1,4190396,4315646,+,125251,702,2233,956,1404,778,16,642,670,457,105,88,57,370,323,580,175,393,199,597,69,230,718,762,311
FAM133B,NW_010972436.1,4336416,4350677,+,14262,2722,377,1684,1629,2351,28,1543,1769,1288,193,784,234,877,527,1441,567,2498,2088,1863,132,2008,1251,1585,1666
EFCAB1,NW_010972436.1,4351354,4358947,+,7594,68,159,37,48,45,0,33,53,50,5,23,3,34,15,29,8,69,44,48,1,33,34,56,29
RBM48,NW_010972436.1,4358858,4363998,-,5141,689,89,396,380,627,8,438,423,382,72,219,60,251,147,298,126,617,507,565,43,491,236,365,359
PEX1,NW_010972436.1,4364222,4392076,+,27855,2000,411,1235,1281,2094,26,1217,1559,1039,225,592,193,771,488,959,462,1944,1676,1608,128,1257,821,1238,1264
LOC104828683,NW_010972436.1,4393669,4413021,+,19353,71,344,51,48,40,2,27,22,30,3,11,4,17,17,28,5,37,47,39,2,33,37,54,17
GATAD1,NW_010972436.1,4428498,4432988,-,4491,442,81,267,282,437,7,267,292,210,42,102,37,95,91,133,70,237,184,348,20,234,166,224,266
ANKIB1,NW_010972436.1,4441090,4538219,-,97130,2842,1784,2089,2418,2748,37,1933,2223,1313,302,728,248,1121,790,1617,607,2600,2020,2728,247,1713,1766,3308,1949
KRIT1,NW_010972436.1,4539087,4564963,+,25877,1139,374,825,1003,1400,18,874,1046,659,117,358,130,457,283,711,315,1066,1028,1153,105,710,586,1234,1001
LRRD1,NW_010972436.1,4562780,4565653,+,2874,7,12,4,5,13,0,3,7,1,0,1,0,0,2,3,1,5,2,5,1,3,6,1,1
LOC104835138,NW_010972436.1,4566352,4579571,+,13220,223,224,159,191,218,2,133,167,130,17,66,18,89,56,87,39,131,151,140,17,122,111,174,124
AKAP9,NW_010972436.1,4580319,4704663,-,124345,25307,4082,21919,23141,34958,376,21632,28236,17437,3480,6356,1931,13221,8891,14925,6336,21806,20559,29616,2587,17165,12673,23578,16522
LOC104828699,NW_010972436.1,4708371,4717128,+,8758,13,174,11,2,12,1,2,9,5,2,3,2,4,2,6,3,12,5,11,1,4,6,11,5
FZD1,NW_010972436.1,4983852,4985653,-,1802,2,38,2,2,0,0,2,1,1,1,0,0,0,0,1,0,2,1,1,0,2,7,3,2
CDK14,NW_010972436.1,5024302,5279609,-,255308,1354,4307,1070,1272,379,16,1384,939,561,147,128,156,488,361,1039,70,594,230,1223,77,446,1383,3146,322
LOC104828711,NW_010972436.1,5373468,5400311,-,26844,1890,505,1685,1869,2043,25,1727,2115,1221,253,504,162,1036,601,1233,462,1655,1390,2180,218,1499,1253,2224,1317
CLDN12,NW_010972436.1,5418284,5426894,-,8611,437,132,329,344,480,9,250,381,245,39,100,34,155,93,206,86,332,338,324,23,262,173,327,280
GTPBP10,NW_010972436.1,5430534,5443032,-,12499,2307,280,1069,1116,2629,29,1460,1735,569,85,200,48,543,302,441,158,1375,1040,853,70,1023,712,1080,925
LOC104835997,NW_010972436.1,5455093,5456515,+,1423,4,25,1,1,2,0,0,1,1,2,0,0,0,0,0,0,5,2,0,0,2,1,2,1
CFAP69,NW_010972436.1,5460354,5491086,-,30733,65,581,33,34,24,0,16,33,25,8,11,13,5,11,20,7,43,25,25,4,21,43,39,13
STEAP2,NW_010972436.1,5499103,5509882,-,10780,46,151,47,156,12,0,61,92,17,20,11,17,17,30,30,11,29,23,59,14,25,138,138,17
STEAP1,NW_010972436.1,5527046,5536998,-,9953,12,173,11,5,4,0,10,2,8,3,2,0,0,2,3,0,9,7,5,0,4,22,8,6
ZNF804B,NW_010972436.1,5845499,5949386,-,103888,253,1590,109,59,72,1,47,59,65,16,31,7,12,22,27,15,167,67,73,3,37,64,81,36
STEAP4,NW_010972436.1,6237490,6258794,+,21305,151,391,25,975,150,19,42,444,37,28,14,56,26,114,13,31,80,102,48,19,47,671,227,276
SRI,NW_010972436.1,6277516,6285194,+,7679,186,151,137,223,85,0,112,103,66,16,7,8,31,42,55,7,30,16,117,6,68,108,200,33
ADAM22,NW_010972436.1,6294024,6430088,-,136065,367,2431,162,95,91,2,70,89,79,15,40,14,21,35,48,21,205,86,82,10,57,119,90,49
DBF4,NW_010972436.1,6440413,6454037,-,13625,369,197,396,402,476,3,354,387,277,48,76,33,215,116,257,86,302,213,413,30,241,242,347,230
SLC25A40,NW_010972436.1,6457934,6478729,+,20796,68,391,49,28,27,4,24,19,24,4,11,7,13,12,26,13,45,27,27,2,13,39,51,14
RUNDC3B,NW_010972436.1,6482386,6528677,-,46292,172,721,71,28,24,0,34,34,40,9,25,3,14,9,34,12,105,52,44,3,38,41,52,27
LOC104836402,NW_010972436.1,6561608,6606437,+,44830,122,657,68,13,31,1,24,24,35,8,22,1,15,9,21,9,69,35,28,4,22,29,31,19
LOC104828762,NW_010972436.1,6615667,6665360,+,49694,81,923,61,26,41,1,32,47,33,5,18,6,15,16,20,11,69,30,32,1,24,47,27,24
CROT,NW_010972436.1,6667606,6692234,-,24629,979,458,615,658,822,12,730,810,461,85,130,47,345,271,465,187,460,269,776,47,576,520,591,481
ACBD7,NW_010972436.1,6703012,6711903,-,8892,19,133,6,5,13,0,7,8,7,0,1,0,5,3,2,4,12,3,10,0,6,4,6,13
RPP38,NW_010972436.1,6713424,6716600,+,3177,105,78,71,85,188,3,112,145,80,13,37,7,40,23,84,24,63,45,128,5,69,58,105,99
NMT2,NW_010972436.1,6719230,6754426,-,35197,455,643,244,345,301,6,234,251,209,34,37,21,150,91,143,49,98,51,369,31,198,264,322,165
FAM171A1,NW_010972436.1,6766843,6804285,-,37443,100,769,52,37,60,1,47,32,24,6,10,2,20,14,29,10,53,20,65,7,12,50,67,22
ITGA8,NW_010972436.1,6922700,7041909,-,119210,330,2069,155,92,351,6,174,232,103,25,51,14,66,43,69,24,197,95,240,17,77,117,191,105
FAM188A,NW_010972436.1,7049526,7109657,-,60132,12038,1225,9893,11797,14792,210,11723,15566,8334,1773,4243,1402,6132,3716,10342,4556,15394,14674,14925,1323,10179,7492,15308,11283
PTER,NW_010972436.1,7283508,7294055,+,10548,37,183,38,27,6,0,22,18,18,1,4,1,7,7,19,2,11,6,27,2,4,22,47,3
C1QL3,NW_010972436.1,7296767,7302832,-,6066,9,97,6,8,2,0,2,6,6,2,2,0,3,3,4,1,4,1,4,1,2,9,5,6
RSU1,NW_010972436.1,7330037,7446470,-,116434,5085,2436,5250,6393,3015,129,6291,4196,2783,719,437,696,2942,1687,4694,675,2948,1757,7225,416,2956,5474,13518,1915
CUBN,NW_010972436.1,7449881,7598674,-,148794,1447,2793,1445,1827,2439,41,2325,3218,1634,354,443,144,298,199,677,362,1708,1461,1456,106,768,630,4308,2113
TRDMT1,NW_010972436.1,7610010,7650848,-,40839,7743,893,6839,7490,9487,130,6172,8095,5679,1047,2840,833,3821,2205,4325,2066,9474,7981,8638,711,6486,4190,6754,5635
VIM,NW_010972436.1,7652142,7660871,+,8730,12991,666,11172,14172,19511,289,12126,13704,9076,1735,3593,1173,5957,4005,8853,3479,15702,10903,15124,1145,10953,7364,13037,10447
ST8SIA6,NW_010972436.1,7686801,7726961,-,40161,116,785,111,30,24,0,46,26,32,1,12,0,18,9,33,8,56,23,52,1,48,48,94,22
PTPLA,NW_010972436.1,7765954,7779316,-,13363,73,217,59,63,12,1,47,33,42,11,3,6,24,10,31,3,29,12,41,5,14,42,98,11
STAM,NW_010972436.1,7800891,7827701,+,26811,2956,547,2054,2025,2782,28,2200,2554,1932,354,845,239,1442,862,1698,721,2496,2146,2940,242,2297,1688,2082,2296
LOC104838311,NW_010972436.1,7848237,7909793,+,61557,163,1033,87,37,46,0,42,42,50,13,21,10,25,14,29,12,101,37,49,3,37,50,50,26
LOC104838393,NW_010972436.1,7915653,7947446,+,31794,391,564,246,7,561,0,202,27,257,9,16,6,32,8,74,2,69,15,254,0,157,34,73,15
LOC104828793,NW_010972436.1,7969593,8004355,+,34763,96,595,44,20,32,1,28,27,24,7,15,3,12,10,20,6,48,24,21,1,20,33,25,25
LOC104828799,NW_010972436.1,8007376,8040906,+,33531,67,546,22,12,19,0,33,16,37,3,13,0,12,5,11,1,41,22,21,2,16,25,20,12
LOC104838475,NW_010972436.1,8043460,8076830,+,33371,88,522,35,14,14,0,29,36,23,3,12,4,4,8,10,1,61,18,22,1,14,25,17,11
SLC39A12,NW_010972436.1,8109867,8144801,+,34935,103,517,38,14,24,1,20,25,24,2,13,3,4,7,13,1,44,17,18,1,11,23,28,17
CACNB2,NW_010972436.1,8175530,8438855,+,263326,630,4444,333,137,188,7,136,176,171,41,116,24,54,69,98,49,374,148,172,16,115,237,180,93
NSUN6,NW_010972436.1,8444355,8465115,-,20761,202,373,186,243,196,4,157,222,127,23,79,33,95,54,152,77,196,160,164,15,150,120,169,161
ARL5B,NW_010972436.1,8470608,8487119,+,16512,64,292,64,72,38,1,43,50,25,7,14,5,39,18,53,6,47,23,60,6,26,40,50,24
MALRD1,NW_010972436.1,8599605,8894795,+,295191,871,4667,427,176,232,6,166,223,218,40,131,34,68,73,137,64,532,207,249,12,176,259,293,136
PLXDC2,NW_010972436.1,8924428,9202653,+,278226,1399,4552,918,1681,447,29,324,299,302,65,118,50,118,145,238,55,444,176,694,44,321,776,616,159
NEBL,NW_010972436.1,9400673,9492380,-,91708,232,1433,130,52,69,0,42,66,75,6,40,10,13,19,32,10,120,50,51,4,32,60,54,42
SKIDA1,NW_010972436.1,9756250,9758680,-,2431,16,44,14,55,9,1,26,30,10,3,3,1,10,10,14,2,4,8,10,2,5,18,20,13
MLLT10,NW_010972436.1,9776460,9913413,+,136954,10020,2784,7717,8499,11574,162,6935,9008,6229,1217,2712,890,4389,2738,6107,2473,10196,8535,9709,840,7301,5667,9747,7362
DNAJC1,NW_010972436.1,9915490,10090702,-,175213,969,2887,696,945,310,13,552,518,336,92,86,75,240,203,463,89,401,190,665,46,299,755,1186,303
TRNAN-GUU_1,NW_010972436.1,10091157,10091230,-,74,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COMMD3,NW_010972436.1,10120723,10124309,+,3587,19,76,29,31,15,1,23,22,14,4,2,4,10,8,27,5,16,8,27,1,15,31,23,9
BMI1,NW_010972436.1,10128179,10135161,+,6983,42,137,13,35,18,3,26,18,16,1,1,2,9,11,19,6,10,7,36,4,6,27,39,12
SPAG6,NW_010972436.1,10156759,10180171,+,23413,51,381,25,14,25,4,14,17,15,4,14,2,2,4,12,2,39,25,17,3,16,19,25,9
PIP4K2A,NW_010972436.1,10239945,10353529,-,113585,10160,2330,10372,13476,8816,220,9340,9613,4814,1317,1604,1129,4625,3116,8181,1984,6458,4637,10700,870,6026,9747,18173,5887
ARMC3,NW_010972436.1,10412782,10464898,+,52117,124,791,60,25,30,3,30,29,28,5,18,4,8,12,19,5,64,30,37,3,27,41,33,23
